Sentiment,Text,Clean_Text,Predicted_Sentiment
Negative,ضيعت دقايق من عمري بمشاهده ازنخ اتفه شخص بالحياه الا هو اللي بالنص لا حتى بعرف اسمه,ضيعت دقايق من عمري بمشاهده ازنخ اتفه شخص بالحياه الا هو اللي بالنص لا حتى بعرف اسمه,Negative
Positive,طالما انك تتوجه الى الله عز وجل باستمرار فلسوف يفتح عليك اكثر مما تتخيل,طالما انك تتوجه الى الله عز وجل باستمرار فلسوف يفتح عليك اكثر مما تتخيل,Positive
Positive,طبعا اكيد والف,طبعا اكيد والف,Positive
Positive,طبعا محدش يقدر بس سبحان الله فيه ناس عايشين من غير مياه,طبعا محدش يقدر بس سبحان الله فيه ناس عايشين من غير مياه,Positive
Positive,طبعا واقع,طبعا واقع,Positive
Positive,طبيب عيون اردني يسجل اختراعا جديدا في روسيا. كل يوم انجاز اردني يسجل.  اﻻردن تكبر بابنائها ,طبيب عيون اردني يسجل اختراعا جديدا في روسيا كل يوم انجاز اردني يسجل  اﻻردن تكبر بابنائها,Positive
Positive,طريق واحد عدم اليئس هو طريق النجاح,طريق واحد عدم اليئس هو طريق النجاح,Positive
Negative,طلعوا العرب اخس واخس واخس,طلعوا العرب اخس واخس واخس,Negative
Positive,طموح الانسان يدفه لتحقيق اهدافه يا رت شببنا ما يقولن فات الوقت الله يوفق من يشاء,طموح الانسان يدفه لتحقيق اهدافه يا رت شببنا ما يقولن فات الوقت الله يوفق من يشاء,Positive
Negative,طول عمر بخاف ان امثالك يصبحوا مطربين,طول عمر بخاف ان امثالك يصبحوا مطربين,Positive
Negative,طول عمرك تخاف من الحب ,طول عمرك تخاف من الحب,Negative
Positive,طيب الله انفاسك وياسلام لو الشباب او الشابات اذا احبو يحبون كجب شاه جاهان وممتاز محل,طيب الله انفاسك وياسلام لو الشباب او الشابات اذا احبو يحبون كجب شاه جاهان وممتاز محل,Positive
Positive,طيب انا عايزه اشوف القصر,طيب انا عايزه اشوف القصر,Negative
Negative,طيب ليه السخريه دى ماكنا كويسين,طيب ليه السخريه دى ماكنا كويسين,Positive
Positive,ظني بالله جميل,ظني بالله جميل,Positive
Negative,عادي محنا اتعودنا على الرفع من يوم يومنا نحن ما بنعرف غير الرفع همه برفعو نحنا بندفع على حسابنا,عادي محنا اتعودنا على الرفع من يوم يومنا نحن ما بنعرف غير الرفع همه برفعو نحنا بندفع على حسابنا,Negative
Negative,عالم فاضيه بيسمو الغناء فن بيشغلو الناس,عالم فاضيه بيسمو الغناء فن بيشغلو الناس,Negative
Negative,عاهات العرب الجرب,عاهات العرب الجرب,Negative
Negative,عاهات اللهم لاشماته,عاهات اللهم لاشماته,Negative
Negative,عاهات وعهد الله عاهات ايه اللي خلاهم يغنو دول,عاهات وعهد الله عاهات ايه اللي خلاهم يغنو دول,Negative
Negative,عاهاتك يا وطنعاهاتك يا وطن,عاهاتك يا وطنعاهاتك يا وطن,Negative
Negative,عاهاتك يا وطني,عاهاتك يا وطني,Negative
Negative,عاهاتك ياعرب,عاهاتك ياعرب,Negative
Positive,عجبتنى الحلقه,عجبتنى الحلقه,Positive
Positive,عجل يا الله,عجل يا الله,Positive
Positive,عد دراسه قمنا بها تبين ان وضع خلايه شمسيه في صجراء الاردن والسعوده تكفي للاناره الارض كامله مدى الحياه,عد دراسه قمنا بها تبين ان وضع خلايه شمسيه في صجراء الاردن والسعوده تكفي للاناره الارض كامله مدى الحياه,Positive
Negative,عدوله السامج هذا خرب اوم المقطع قسسم زباله هالادمي ودمه زززفت انا ضحكت,عدوله السامج هذا خرب اوم المقطع قسسم زباله هالادمي ودمه زززفت انا ضحكت,Negative
Negative,عذبت ام العود,عذبت ام العود,Negative
Negative,عرب اغبياء,عرب اغبياء,Negative
Negative,عــرب جـــرب,عرب جرب,Negative
Positive,عشان هيك قال النبي صلى الله عليه وسلم ان الكذب يهدي الى الفجور والفجور يهدي الى النار,عشان هيك قال النبي صلى الله عليه وسلم ان الكذب يهدي الى الفجور والفجور يهدي الى النار,Positive
Negative,عطله 15 يوم وكمان اسبوع عطله و 20 دينار لكل طالب هاي مدرسه ولا شهر عسل,عطله  يوم وكمان اسبوع عطله و  دينار لكل طالب هاي مدرسه ولا شهر عسل,Negative
Positive,عظيم هو اسلامنا ,عظيم هو اسلامنا,Positive
Negative,عفكره البيج هاد قرفني وقلب معدتي شو للاسف انتا انو عرفك انه هيك الوضع بتفتح بالفنجان يا ناس خفوا علينا الدين مش للايكات وكمنتات,عفكره البيج هاد قرفني وقلب معدتي شو للاسف انتا انو عرفك انه هيك الوضع بتفتح بالفنجان يا ناس خفوا علينا الدين مش للايكات وكمنتات,Negative
Positive,على الاقل هناك رجل وفي لامراه احبها وهذا يسعدني,على الاقل هناك رجل وفي لامراه احبها وهذا يسعدني,Positive
Negative,على فكره المعلقين هدول ولاد حرام,على فكره المعلقين هدول ولاد حرام,Negative
Negative,عليا النعمه ابدا لا هو ولا الخروف التاني,عليا النعمه ابدا لا هو ولا الخروف التاني,Negative
Positive,عليك بتقوى الله ان كنت غافلا,عليك بتقوى الله ان كنت غافلا,Positive
Positive,عليكم بالدعاء والتضرع لله سبحانه وتعالى ولا يرد القضاء اللا الدعاء اجتهدوا رحمكم الله,عليكم بالدعاء والتضرع لله سبحانه وتعالى ولا يرد القضاء اللا الدعاء اجتهدوا رحمكم الله,Positive
Negative,عمدا فيهم ما نستعمل التدفئه نلبس فروه,عمدا فيهم ما نستعمل التدفئه نلبس فروه,Negative
Positive,عمرتنا كانت مميزه جدا ورائعه,عمرتنا كانت مميزه جدا ورائعه,Positive
Positive,عمل السريره هو العمل الخالص لله اللهم ارزقنا عمل السريره,عمل السريره هو العمل الخالص لله اللهم ارزقنا عمل السريره,Positive
Positive,عن جد انتى ما شاء الله عليكى جزاكى الله كل خير,عن جد انتى ما شاء الله عليكى جزاكى الله كل خير,Positive
Positive,عنجد الكذب اكبر ورطه,عنجد الكذب اكبر ورطه,Positive
Negative,عنجد انو باله,عنجد انو باله,Negative
Negative,عنجد بخزي,عنجد بخزي,Negative
Negative,عنجد بخزي شو هاد على حساب ازياء طلع باله,عنجد بخزي شو هاد على حساب ازياء طلع باله,Negative
Negative,عنجد هذا الانسان تافه وحقير,عنجد هذا الانسان تافه وحقير,Negative
Positive,عندك حق انت امل جميل مشرق,عندك حق انت امل جميل مشرق,Positive
Negative,عندما يقدم طلاب على حرق الكتب المدرسيه والاضراب فنحن نعيش انتكاسه في التعليم بطلها المعلم الغير مبالي الذين اججوا وافتعلوا الازمه,عندما يقدم طلاب على حرق الكتب المدرسيه والاضراب فنحن نعيش انتكاسه في التعليم بطلها المعلم الغير مبالي الذين اججوا وافتعلوا الازمه,Negative
Positive,"عندما يقول لك احد:  ابشرك فانك مباشره تفرح وتبتسم فكيف اذا كان القائل هو الله سبحانه وتعالى حين يقول : ""وبشر الصابرين""",عندما يقول لك احد  ابشرك فانك مباشره تفرح وتبتسم فكيف اذا كان القائل هو الله سبحانه وتعالى حين يقول  وبشر الصابرين,Positive
Negative,عني كل يعلقو الا انا,عني كل يعلقو الا انا,Negative
Negative,عوام الشيعه بين ساذج ومغفل وجاهل ومتجاهل ولا يمكن لعاقل ان يظن ان عباده الله تكون بان تقضي حياتك بين لطم ولعن وتباكي,عوام الشيعه بين ساذج ومغفل وجاهل ومتجاهل ولا يمكن لعاقل ان يظن ان عباده الله تكون بان تقضي حياتك بين لطم ولعن وتباكي,Negative
Negative,عيب عليك ماتستحي,عيب عليك ماتستحي,Negative
Negative,عيب عليكوا تقارنوا وحده زى دى بالمصحف الى هوا كلام ربنا,عيب عليكوا تقارنوا وحده زى دى بالمصحف الى هوا كلام ربنا,Positive
Negative,عيب والله اسم المقطع,عيب والله اسم المقطع,Negative
Negative,عيب يغني ده السادات وده ابن مره,عيب يغني ده السادات وده ابن مره,Negative
Positive,عيش زي ما بدك ما ترد على حدا ابدا,عيش زي ما بدك ما ترد على حدا ابدا,Positive
Positive,عين العقل ربي,عين العقل ربي,Positive
Negative,غباء في غباء لان نفس الحركه صارت في  يعني قلدنه البرنامج وبعد التصرفات اوووف,غباء في غباء لان نفس الحركه صارت في  يعني قلدنه البرنامج وبعد التصرفات اوووف,Negative
Negative,غبي الله يزيد غباك,غبي الله يزيد غباك,Negative
Negative,غبي انتا اشي الصووووت هاد بتشبهو بجورج وسوف,غبي انتا اشي الصووووت هاد بتشبهو بجورج وسوف,Negative
Negative,غبي من جده,غبي من جده,Negative
Negative,غرباء نحن حتي في احلامنا نعيش واقع ليس لنا فيه نصيب. .؟ نتمني اشياء كثيره لكن بدون ان نتحمل اي مسؤوليه. ....ننظر الى انفسنا فقط,غرباء نحن حتي في احلامنا نعيش واقع ليس لنا فيه نصيب ؟ نتمني اشياء كثيره لكن بدون ان نتحمل اي مسؤوليه ننظر الى انفسنا فقط,Negative
Negative,غيب عن وجهي,غيب عن وجهي,Negative
Positive,فاجعل اللهم عوضي فيه,فاجعل اللهم عوضي فيه,Positive
Negative,فاشل فاشله برنامج فاشل,فاشل فاشله برنامج فاشل,Negative
Negative,فاشله من بيئه فاشله,فاشله من بيئه فاشله,Negative
Negative,فاشلين الى ما لا نهايه,فاشلين الى ما لا نهايه,Negative
Negative,فاضل قلمين نخلص,فاضل قلمين نخلص,Negative
Positive,فاظفر بذات الدين تربت يداك,فاظفر بذات الدين تربت يداك,Positive
Negative,فاقد لكل معاني الاحساس,فاقد لكل معاني الاحساس,Negative
Positive,فالاول يصحح مساري الثاني يزيد من اصراري,فالاول يصحح مساري الثاني يزيد من اصراري,Positive
Negative,فانا اناشد الحكومه الاردنيه بالافراج عن اسرى السلفيين التوحيدين الموجودين في سجونهم,فانا اناشد الحكومه الاردنيه بالافراج عن اسرى السلفيين التوحيدين الموجودين في سجونهم,Negative
Positive,فاهجر تجد عوضا عما تفارقه,فاهجر تجد عوضا عما تفارقه,Positive
Negative,فتاه تحاول استعراض جسدها,فتاه تحاول استعراض جسدها,Negative
Positive,فتحه نصره نوره بركته هداه,فتحه نصره نوره بركته هداه,Positive
Positive,فدمك عود مع عنبر,فدمك عود مع عنبر,Positive
Negative,فشرت عين الشيعه والله بنحرقهم حر,فشرت عين الشيعه والله بنحرقهم حر,Negative
Negative,فشرت عينك,فشرت عينك,Negative
Negative,فشلوه مره صدق انهم دلوخ,فشلوه مره صدق انهم دلوخ,Negative
Negative,فضحتونا من وين نحنا بال 48 عنا برامج هيك تافها ومخمج,فضحتونا من وين نحنا بال  عنا برامج هيك تافها ومخمج,Negative
Negative,فطست ضحك على الشايب,فطست ضحك على الشايب,Negative
Positive,فعلا احس في نفسي دللك,فعلا احس في نفسي دللك,Negative
Positive,فعلا البت جده لما تحتاج ليه هو الانسان الصادق هو البستاهل تضحي عشان,فعلا البت جده لما تحتاج ليه هو الانسان الصادق هو البستاهل تضحي عشان,Positive
Negative,فعلا الطاقه الشمسيه هي البديل ليست النوويه لان حتى الدول المتقدمه صارت تتخلص من النووي تتجه للطاقه البديله خصوصا نحن الاردن بلد مشمس عالطول السنه الكلفه ما اتوقع اكثر من الطاقه النوويه,فعلا الطاقه الشمسيه هي البديل ليست النوويه لان حتى الدول المتقدمه صارت تتخلص من النووي تتجه للطاقه البديله خصوصا نحن الاردن بلد مشمس عالطول السنه الكلفه ما اتوقع اكثر من الطاقه النوويه,Negative
Positive,فعلا الله يبعدنا عن الكذب,فعلا الله يبعدنا عن الكذب,Positive
Positive,فعلا الله يجزيك كل الخير دكتور والله يثبتنا على ديننا,فعلا الله يجزيك كل الخير دكتور والله يثبتنا على ديننا,Positive
Negative,فعلا اللي بيســتحوا ماتوا,فعلا اللي بيستحوا ماتوا,Negative
Positive,فعلا ان الطموح هو سر النجاح,فعلا ان الطموح هو سر النجاح,Positive
Negative,فعلا برنامج ساقط واللي بيتابعه اسقط منه,فعلا برنامج ساقط واللي بيتابعه اسقط منه,Negative
Positive,فعلا ده صحىح مثلا زى سماع الاغانى التى تلهى عن زكر الله لو تركتها لله ىملا الله قلبك بحبه ولاتشغل بالك الا بذكره,فعلا ده صحىح مثلا زى سماع الاغانى التى تلهى عن زكر الله لو تركتها لله ىملا الله قلبك بحبه ولاتشغل بالك الا بذكره,Positive
Negative,فعلا زي ما حكى اخر شي مهزله وانا مهزله اللي ضيعت وقتي اشوف هيك مسخره فعلا اني مسخره,فعلا زي ما حكى اخر شي مهزله وانا مهزله اللي ضيعت وقتي اشوف هيك مسخره فعلا اني مسخره,Negative
Negative,فعلا فضايح ما توقعتها في شبابنا المتخلف اخلاقيا وصوتيا وبدنيا اها وعقليا بالتاكيد,فعلا فضايح ما توقعتها في شبابنا المتخلف اخلاقيا وصوتيا وبدنيا اها وعقليا بالتاكيد,Negative
Positive,فعلا في البدايه كلهم رائعون,فعلا في البدايه كلهم رائعون,Positive
Negative,فعلا مهزله,فعلا مهزله,Negative
Positive,فعلا والله هو القرار والثبات عليه,فعلا والله هو القرار والثبات عليه,Positive
Negative,فقد عجزت الكلمات,فقد عجزت الكلمات,Negative
Negative,فلما الحزن فلقد اصبح الحزن صديقي,فلما الحزن فلقد اصبح الحزن صديقي,Negative
Positive,فما اجمل هذا الدين,فما اجمل هذا الدين,Positive
Negative,فهم ادرى واخبر لا وبل اكثر انكارا للشيعه وامثالهم,فهم ادرى واخبر لا وبل اكثر انكارا للشيعه وامثالهم,Negative
Positive,فوق من اللي انت فيه ربك دايما جمبك لو ناديتو هتلاقيه جايز ده اختبار ركز فالاجابه وقول يارب وخد قرار,فوق من اللي انت فيه ربك دايما جمبك لو ناديتو هتلاقيه جايز ده اختبار ركز فالاجابه وقول يارب وخد قرار,Positive
Positive,فى ناس كتير ربنا كرمهم بنعمه الاسلام ولكنها لا تدرك قيمتها,فى ناس كتير ربنا كرمهم بنعمه الاسلام ولكنها لا تدرك قيمتها,Positive
Negative,في ايه يا ولاد الوثخه؟,في ايه يا ولاد الوثخه؟,Negative
Negative,في خطبه وحده رفض شيخ اخواني النووي الاردني و مدح النووي الايراني,في خطبه وحده رفض شيخ اخواني النووي الاردني و مدح النووي الايراني,Negative
Positive,في كل مناحي الحياه التكنولوجيا بديل عن البشر الا في التعليم التكنولوجيا تجعل عمل المعلم .. متعه لا بديلا عنه,في كل مناحي الحياه التكنولوجيا بديل عن البشر الا في التعليم التكنولوجيا تجعل عمل المعلم  متعه لا بديلا عنه,Positive
Negative,فيديو بايخ,فيديو بايخ,Negative
Negative,فيروسات بشريه,فيروسات بشريه,Negative
Negative,قال حكم قال,قال حكم قال,Negative
Negative,قرد زاني ابن حرام انقلع قبح الله صورتك ياخنزير,قرد زاني ابن حرام انقلع قبح الله صورتك ياخنزير,Negative
Negative,قرف شوهاد شي بخزي عنجد,قرف شوهاد شي بخزي عنجد,Negative
Negative,قرف يعيع,قرف يعيع,Negative
Negative,قرف يقرف اللبنانيين شو تافهين,قرف يقرف اللبنانيين شو تافهين,Negative
Negative,قرف يقرفك,قرف يقرفك,Negative
Negative,قرفت انتحر عن الدرج,قرفت انتحر عن الدرج,Negative
Positive,قريبا ان شاء لله تسمع اخبار تسركم,قريبا ان شاء لله تسمع اخبار تسركم,Positive
Negative,قصدك اخر ما توصل اليه العقل البشري من تفاهات,قصدك اخر ما توصل اليه العقل البشري من تفاهات,Negative
Positive,قصه جميله تعلم الناس كمان الامانه لان اذا اخذ القليل اخذا الكثير,قصه جميله تعلم الناس كمان الامانه لان اذا اخذ القليل اخذا الكثير,Positive
Positive,قصه جميله جدا تعكس معنى الايمان التمسك بالعقيده الصحيحه حسن تعاليمها,قصه جميله جدا تعكس معنى الايمان التمسك بالعقيده الصحيحه حسن تعاليمها,Positive
Positive,قصه جميله مهمه جدا,قصه جميله مهمه جدا,Positive
Positive,قصه جميله ودايما انا بحب اسمع البرنامج,قصه جميله ودايما انا بحب اسمع البرنامج,Positive
Positive,قصه حقيقيه رائعه فيها عبره لكل زوج وزوجه فيها الموده والرحمه,قصه حقيقيه رائعه فيها عبره لكل زوج وزوجه فيها الموده والرحمه,Positive
Positive,قصه رائعه افادك الله من العلم لتفيدنا دائما,قصه رائعه افادك الله من العلم لتفيدنا دائما,Positive
Positive,قصه رائعه ياريت كل الرجال هيك,قصه رائعه ياريت كل الرجال هيك,Positive
Positive,قصه فى منتهى الروعه,قصه فى منتهى الروعه,Positive
Positive,قصه في غايه الروعه,قصه في غايه الروعه,Positive
Positive,قل لي من تصاحب اقول لك من انت,قل لي من تصاحب اقول لك من انت,Positive
Negative,قلت ادب,قلت ادب,Negative
Negative,قلولهم هذا سوبر ستار مش مسابقه لبياع الخضار,قلولهم هذا سوبر ستار مش مسابقه لبياع الخضار,Negative
Positive,قمه البلاغه,قمه البلاغه,Positive
Negative,قمه التخلف البشري الله يشفيهم,قمه التخلف البشري الله يشفيهم,Negative
Negative,قمه التخلف والانحطاط,قمه التخلف والانحطاط,Negative
Negative,قهروني حرام,قهروني حرام,Negative
Positive,قول يا الله ده عنك مش بعيد متشلش هم ولا تشعر بضيق اقول يالله اهديني ياقلبي عشان اتوب امحي الذنوب واهديلي الطريق,قول يا الله ده عنك مش بعيد متشلش هم ولا تشعر بضيق اقول يالله اهديني ياقلبي عشان اتوب امحي الذنوب واهديلي الطريق,Positive
Positive,قول يا رب وخد قرار,قول يا رب وخد قرار,Positive
Positive,قول يارب ادعي كتير انك تكره هذه المعصيه وربنا كريم,قول يارب ادعي كتير انك تكره هذه المعصيه وربنا كريم,Positive
Positive,قولى يارب ثم توكلى عليه انه نعم المولى نعم الوكيل احتسبى عنده ما تظنين انك لا تقدرين عليه,قولى يارب ثم توكلى عليه انه نعم المولى نعم الوكيل احتسبى عنده ما تظنين انك لا تقدرين عليه,Positive
Negative,كارثه بشريه,كارثه بشريه,Negative
Negative,كافر ملعون جهنم باذن الله,كافر ملعون جهنم باذن الله,Negative
Negative,كاميرا خفيه في الانحطاط الاخلاقي,كاميرا خفيه في الانحطاط الاخلاقي,Negative
Negative,كان خطاي الوحيد، اعطيت من لا يستحق اكثر من حقه,كان خطاي الوحيد، اعطيت من لا يستحق اكثر من حقه,Negative
Negative,كان نفسي اكون شخص بارد ، يتقبل اي حاجه من غير ما يتاثر.,كان نفسي اكون شخص بارد ، يتقبل اي حاجه من غير ما يتاثر,Negative
Positive,كانت الحياه صعبه والمدرسين خشنين واغلبهم من الاردن وفلسطين لكنهم علمونا الادب والعلم غفر الله لامواتهم,كانت الحياه صعبه والمدرسين خشنين واغلبهم من الاردن وفلسطين لكنهم علمونا الادب والعلم غفر الله لامواتهم,Positive
Negative,كانت العرب في الجاهليه، يصيبها التشاؤم ان رات رجل او امراه لون عينيه ازرق وكانت تعتقد انهم شياطين او مس شيطاني اصابهم وهم اجنه,كانت العرب في الجاهليه، يصيبها التشاؤم ان رات رجل او امراه لون عينيه ازرق وكانت تعتقد انهم شياطين او مس شيطاني اصابهم وهم اجنه,Negative
Negative,كانت تسوي مقلب انها محترمه بعدين اعترفت انها,كانت تسوي مقلب انها محترمه بعدين اعترفت انها,Negative
Negative,كانهم خرفان العيد عند المسلخ,كانهم خرفان العيد عند المسلخ,Negative
Negative,كباب كباب واخرتها لحم كلاب تكرمون ، احذروا,كباب كباب واخرتها لحم كلاب تكرمون ، احذروا,Negative
Negative,كتكوت ضعيف الجناح الدنيا غدرت ها,كتكوت ضعيف الجناح الدنيا غدرت ها,Negative
Negative,كتير رخيص ومقرف,كتير رخيص ومقرف,Negative
Negative,كثر الكلام في هذان الموضوعين ولم يتحقق على الواقع شي اصبح المواطن يتبع سراب,كثر الكلام في هذان الموضوعين ولم يتحقق على الواقع شي اصبح المواطن يتبع سراب,Negative
Positive,كثر الله من امثالك زادك الله علم,كثر الله من امثالك زادك الله علم,Positive
Negative,كدا عيب اودني راحت فيها,كدا عيب اودني راحت فيها,Negative
Positive,كرامتى اولى,كرامتى اولى,Positive
Positive,كرامتي افضل من سعادتي,كرامتي افضل من سعادتي,Positive
Negative,كرهت كلمه نازح، لاجئ، ازمه،  وضع،  توره، تاريخ،  جغرافيا,كرهت كلمه نازح، لاجئ، ازمه،  وضع،  توره، تاريخ،  جغرافيا,Negative
Negative,كس اخـتك,كس اختك,Negative
Negative,كس امكم يالعرب يابهايم يابقايا حضارات الامم,كس امكم يالعرب يابهايم يابقايا حضارات الامم,Negative
Negative,كسم البرامج العربيه متخلفه بنت شرموطه,كسم البرامج العربيه متخلفه بنت شرموطه,Negative
Negative,كسم العته البشرى,كسم العته البشرى,Negative
Positive,كل الاحترام,كل الاحترام,Positive
Positive,"كل البدايات جميله لكن العبره دائما تكون بالختام,اما كسبت او تعلمت درس مستحيل تنساه.",كل البدايات جميله لكن العبره دائما تكون بالختاماما كسبت او تعلمت درس مستحيل تنساه,Positive
Negative,كل النسخ العربيه والاجنبه كله تمثيل في تمثيل مسخره وعقول تاقهه,كل النسخ العربيه والاجنبه كله تمثيل في تمثيل مسخره وعقول تاقهه,Negative
Positive,كل سنه وانتم طيبين,كل سنه وانتم طيبين,Positive
Positive,كل شخص فينا بيتمنى الخشوع في صلاته يا رب يتقبل صلاتنا صيامنا,كل شخص فينا بيتمنى الخشوع في صلاته يا رب يتقبل صلاتنا صيامنا,Positive
Positive,كل شئ في حب الله تهون وحب ربنا اقوى بكتير من اى حاجه,كل شئ في حب الله تهون وحب ربنا اقوى بكتير من اى حاجه,Positive
Positive,كل شئ ماله معنى بهالحياه الا الفلوس هي الحياه وهي من تقرر مصير كل شئ بهالدنيا الا شئ واحد الموت لا يتناغم مع الفلوس,كل شئ ماله معنى بهالحياه الا الفلوس هي الحياه وهي من تقرر مصير كل شئ بهالدنيا الا شئ واحد الموت لا يتناغم مع الفلوس,Positive
Negative,كل واحد حرامي ما بهمو مصلحه المسكين المواطن الي بشتغل 14ساعه 6دنانير,كل واحد حرامي ما بهمو مصلحه المسكين المواطن الي بشتغل ساعه دنانير,Negative
Negative,كل يوم اجتماعات ومناقشات وتحليلات ومفاوضات بشان سوريه وكلو حكي فاضي وعلاك مصدي اذا ما في نيه صادقه مخلصه من كل الاطراف لن تنتهي ماساتنا,كل يوم اجتماعات ومناقشات وتحليلات ومفاوضات بشان سوريه وكلو حكي فاضي وعلاك مصدي اذا ما في نيه صادقه مخلصه من كل الاطراف لن تنتهي ماساتنا,Negative
Negative,كل يوم يصدمنا الاعلام بنتائج رقميه مجهوله المصدر والتوثيق والاستقراء حول التعليم في الاردن لتبرروا تغير المناهج المخزي لا لن تخدعونا,كل يوم يصدمنا الاعلام بنتائج رقميه مجهوله المصدر والتوثيق والاستقراء حول التعليم في الاردن لتبرروا تغير المناهج المخزي لا لن تخدعونا,Negative
Positive,كلام بليغ اللهم ارزقنا الزوج الصالح من يعرف معني رفقا بالقوارير,كلام بليغ اللهم ارزقنا الزوج الصالح من يعرف معني رفقا بالقوارير,Positive
Positive,كلام جميل,كلام جميل,Positive
Positive,كلام جميل الكرامه افضل ابقى للانسان,كلام جميل الكرامه افضل ابقى للانسان,Positive
Positive,كلام جى فى وقته,كلام جى فى وقته,Positive
Positive,كلام حقيقي,كلام حقيقي,Positive
Positive,كلام حلو ومشجع,كلام حلو ومشجع,Positive
Positive,كلام ذهب,كلام ذهب,Positive
Positive,كلام رائع وفي وقته وربنا قادر علي كل شئ,كلام رائع وفي وقته وربنا قادر علي كل شئ,Positive
Positive,كلام سليم,كلام سليم,Positive
Positive,كلام سليم الف بالميه الله,كلام سليم الف بالميه الله,Positive
Positive,كلام سليم والصراحه راحه,كلام سليم والصراحه راحه,Positive
Positive,كلام صحيح من شان هيك الدول اللي ما فيها بطاله والمجتمعات المفتوحه بتقل فيها المشاكل النفسيه,كلام صحيح من شان هيك الدول اللي ما فيها بطاله والمجتمعات المفتوحه بتقل فيها المشاكل النفسيه,Negative
Positive,كلام طيب,كلام طيب,Positive
Positive,كلام ما في جدل,كلام ما في جدل,Positive
Positive,كلامك جميل ورائع,كلامك جميل ورائع,Positive
Positive,كلامك يشعرني بالتفاؤل يمدني بالقوه الاستمرار,كلامك يشعرني بالتفاؤل يمدني بالقوه الاستمرار,Positive
Negative,كلب واطي,كلب واطي,Negative
Negative,كلب وحقير,كلب وحقير,Negative
Positive,كلمات رائعه حلوه لا احلى ان يكونو في النهايه رائعون,كلمات رائعه حلوه لا احلى ان يكونو في النهايه رائعون,Positive
Positive,كلماتك عذبه,كلماتك عذبه,Positive
Negative,كـلمه حب عـجـبـتـنـى جـيـت  اقــؤلها جــرحـتـنـى,كلمه حب عجبتنى جيت  اقؤلها جرحتنى,Negative
Positive,كلنا ما انتصرنا على نفسنا وعلى الحاجه ددي الي متعبتنا ومبعدتنا عن الله,كلنا ما انتصرنا على نفسنا وعلى الحاجه ددي الي متعبتنا ومبعدتنا عن الله,Positive
Negative,كله على راس المواطن ما يثير السخريه رفع اسعار المستقات النفطيه المستخدمه في الصناعه تقول صناعتنا مكسره الدنيا,كله على راس المواطن ما يثير السخريه رفع اسعار المستقات النفطيه المستخدمه في الصناعه تقول صناعتنا مكسره الدنيا,Negative
Negative,كلهم فاجرين,كلهم فاجرين,Positive
Negative,كلهم معندهمش احساس,كلهم معندهمش احساس,Negative
Negative,كلو حكي فاضي,كلو حكي فاضي,Negative
Negative,كم هي ثقيله على لسانك .. فرائحه الدجل والنفاق بنظرات عيونك !! ,كم هي ثقيله على لسانك  فرائحه الدجل والنفاق بنظرات عيونك,Negative
Positive,كن انت التغير الذي تريد ان تراه,كن انت التغير الذي تريد ان تراه,Positive
Positive,كن انت ذلك الشخص,كن انت ذلك الشخص,Positive
Positive,كن ايجابيا وتذكر ان قليلا من التفاؤل قد يصنع الف طريق نحو السعاده صباحكم مليان طاقه ايجابيه,كن ايجابيا وتذكر ان قليلا من التفاؤل قد يصنع الف طريق نحو السعاده صباحكم مليان طاقه ايجابيه,Positive
Positive,كن كما انت لا تتغير من اجل احد,كن كما انت لا تتغير من اجل احد,Positive
Positive,كن مع الله لا تبالي,كن مع الله لا تبالي,Positive
Negative,كنا نقول البلد حاميها حراميها ماذا سنقول الان مفتيها حراميها الله الواحد تحير في هذه الامه التي اصبح الحليم فيها حيران,كنا نقول البلد حاميها حراميها ماذا سنقول الان مفتيها حراميها الله الواحد تحير في هذه الامه التي اصبح الحليم فيها حيران,Negative
Negative,كنا نقول عاهات,كنا نقول عاهات,Negative
Positive,كنت اخادع الحياه لكي اعيش كما اريد لكن الحياه خدعتني عشت كما هي تريد,كنت اخادع الحياه لكي اعيش كما اريد لكن الحياه خدعتني عشت كما هي تريد,Positive
Negative,كنت اشوف الاجانب اقول موسوسين,كنت اشوف الاجانب اقول موسوسين,Negative
Negative,كيد النساء لولا مكر الرجال لما خلقت حــواء بكيــد عظيــم,كيد النساء لولا مكر الرجال لما خلقت حواء بكيد عظيم,Negative
Negative,كيف صرت كاتب يا زلمه ؟؟ انت كثير عليك حمار,كيف صرت كاتب يا زلمه ؟؟ انت كثير عليك حمار,Negative
Positive,كيف لا احبه و في كل مساء يهديني شيئا من روحه ,كيف لا احبه و في كل مساء يهديني شيئا من روحه,Positive
Negative,كيف يجتمع ستر وغض البصر,كيف يجتمع ستر وغض البصر,Negative
Positive,لا احنا نتبع نظام مختلط بين الراسماليه والاشتراكيه,لا احنا نتبع نظام مختلط بين الراسماليه والاشتراكيه,Positive
Positive,لا استطيع اللهم ارزقنا العافيه وشكر نعمتك,لا استطيع اللهم ارزقنا العافيه وشكر نعمتك,Positive
Positive,لا اله الا الله محمد رسول الله,لا اله الا الله محمد رسول الله,Positive
Negative,لا بقلو بيضه حكي فارط نحن الاردنيه ما حد بيطلع معنا براس,لا بقلو بيضه حكي فارط نحن الاردنيه ما حد بيطلع معنا براس,Negative
